ද,97770
ය,93064
මේ,74519
ඒ,72747
හා,66889
ම,53503
බව,40530
නම්,34595
දී,32032
සඳහා,31268
යි,30539
සහ,28439
ලෙස,28436
හෝ,28211
ඇත,28043
නිසා,26541
මෙම,25533
ව,22839
ගැන,22468
විසින්,21959
විට,21393
එම,21131
තුළ,21063
කොට,20133
යුතු,19873
වශයෙන්,19360
නො,19111
පිළිබඳ,15951
අනුව,14756
එහෙත්,14505
පසු,14007
එක්,13274
මෙන්,12374
සිට,11752
නැත,11531
වැනි,11170
නෑ,11068
වඩා,10952
බොහෝ,10874
ඉතා,10765
නැහැ,9960
තවත්,9915
බවට,9755
පමණක්,9378
යම්,9276
සමඟ,9193
මත,9130
සේ,8563
නමුත්,8447
පෙර,8344
මහා,8110
වෙත,7998
පමණ,7972
සමග,7674
නොවේ,7461
මගින්,7403
දක්වා,6994
නොව,6657
සියලු,6295
යැයි,6253
ඇතැම්,6233
යනු,6231
වෙනත්,5902
හැම,5815
පිණිස,5785
පටන්,5650
සහිත,5389
හරි,5315
ඇතුළු,5227
වගේ,5159
පරිදි,5150
පවා,4988
තව,4909
සමහර,4843
තමයි,4809
පසුව,4465
සෑම,4429
යටතේ,4397
වෙනුවෙන්,4337
එනම්,4221
ඒත්,4161
වෙන,4071
බැවින්,4033
පහළ,3791
වඩාත්,3774
හැර,3770
පිට,3763
එවැනි,3740
කිසි,3718
ආ,3678
ඉහළ,3614
අනෙක්,3590
තුළින්,3549
එක්ක,3516
ආදී,3503
මුළු,3442
පැවති,3402
සම්බන්ධයෙන්,3339
ඔය,3330
වත්,3224
පමණි,3172
වෙන්,3148
පුරා,3138
ඕනෑ,3073
එපා,3025
එවිට,3010
හෙවත්,2981
යනුවෙන්,2890
මෙවැනි,2799
ඔව්,2763
ඉතින්,2753
ටික,2744
ඉහත,2651
කරා,2603
කිසියම්,2596
ඇයි,2575
කිසිම,2551
අර,2500
හෙයින්,2479
කිසිදු,2412
හට,2385
අනික්,2382
ඉදිරියට,2354
තෙක්,2349
වෙනුවට,2239
හැටියට,2217
යට,2180
දැයි,2169
මොකද,2130
මඟින්,2115
බැව්,2099
අන්,2065
ඕන,2026
ළඟ,2010
යුත්,1973
හරහා,1970
අසල,1961
බැහැර,1953
හොත්,1931
එක්තරා,1924
උඩ,1893
අයුරින්,1873
කල්හි,1853
අයුරු,1845
නොයෙක්,1844
අතරින්,1798
කවර,1785
වනාහි,1773
ඔස්සේ,1772
නැත්නම්,1717
උදෙසා,1705
යුක්ත,1658
නේද,1656
බැහැ,1654
මිස,1653
හැටි,1584
වටා,1553
බෑ,1541
එතරම්,1526
